year,flow,nile,time,level,trend,niletime,nilelevel,niletrend
1871,3533.916667,1,1,0,0,1,0,0
1872,3664.25,1,2,0,0,2,0,0
1873,3047.5,1,3,0,0,3,0,0
1874,3808.583333,1,4,0,0,4,0,0
1875,3677.5,1,5,0,0,5,0,0
1876,3663.416667,1,6,0,0,6,0,0
1877,2667.583333,1,7,0,0,7,0,0
1878,3900.083333,1,8,0,0,8,0,0
1879,4326.666667,1,9,0,0,9,0,0
1880,3590.583333,1,10,0,0,10,0,0
1881,3147.25,1,11,0,0,11,0,0
1882,2954.083333,1,12,0,0,12,0,0
1883,3498.416667,1,13,0,0,13,0,0
1884,3142.166667,1,14,0,0,14,0,0
1885,3213.916667,1,15,0,0,15,0,0
1886,3035,1,16,0,0,16,0,0
1887,3711.75,1,17,0,0,17,0,0
1888,2521.666667,1,18,0,0,18,0,0
1889,3023.5,1,19,0,0,19,0,0
1890,3507.5,1,20,0,0,20,0,0
1891,3493.666667,1,21,0,0,21,0,0
1892,4268.75,1,22,0,0,22,0,0
1893,3635.583333,1,23,0,0,23,0,0
1894,3946.416667,1,24,0,0,24,0,0
1895,3978.166667,1,25,0,0,25,0,0
1896,3856,1,26,0,0,26,0,0
1897,3248.166667,1,27,0,0,27,0,0
1898,3479.833333,1,28,1,1,28,1,1
1899,2453,1,29,1,2,29,1,2
1900,2649.166667,1,30,1,3,30,1,3
1901,2764.916667,1,31,1,4,31,1,4
1902,2196.666667,1,32,1,5,32,1,5
1903,2973.583333,1,33,1,6,33,1,6
1904,2613.416667,1,34,1,7,34,1,7
1905,2219.333333,1,35,1,8,35,1,8
1906,2901,1,36,1,9,36,1,9
1907,2186.75,1,37,1,10,37,1,10
1908,3215.333333,1,38,1,11,38,1,11
1909,3318.25,1,39,1,12,39,1,12
1910,3063.666667,1,40,1,13,40,1,13
1911,2605.583333,1,41,1,14,41,1,14
1912,2239.75,1,42,1,15,42,1,15
1913,1441.25,1,43,1,16,43,1,16
1914,2654.166667,1,44,1,17,44,1,17
1915,2191.75,1,45,1,18,45,1,18
1916,3570.333333,1,46,1,19,46,1,19
1917,3498.166667,1,47,1,20,47,1,20
1918,2564.583333,1,48,1,21,48,1,21
1919,2434.166667,1,49,1,22,49,1,22
1920,2594.333333,1,50,1,23,50,1,23
1921,2415.166667,1,51,1,24,51,1,24
1922,2683.583333,1,52,1,25,52,1,25
1923,2733.416667,1,53,1,26,53,1,26
1924,2729.416667,1,54,1,27,54,1,27
1925,2138.083333,1,55,1,28,55,1,28
1926,2665.916667,1,56,1,29,56,1,29
1927,2306.25,1,57,1,30,57,1,30
1928,2495.416667,1,58,1,31,58,1,31
1929,3241.083333,1,59,1,32,59,1,32
1930,2334.416667,1,60,1,33,60,1,33
1871,2120,0,61,1,34,0,0,0
1872,2273.333333,0,62,1,35,0,0,0
1873,2562.5,0,63,1,36,0,0,0
1874,2543.333333,0,64,1,37,0,0,0
1875,2585.833333,0,65,1,38,0,0,0
1876,2815,0,66,1,39,0,0,0
1877,2450,0,67,1,40,0,0,0
1878,2162.5,0,68,1,41,0,0,0
1879,1932.5,0,69,1,42,0,0,0
1880,2125,0,70,1,43,0,0,0
1881,2352.5,0,71,1,44,0,0,0
1882,2303.333333,0,72,1,45,0,0,0
1883,2197.5,0,73,1,46,0,0,0
1884,2105,0,74,1,47,0,0,0
1885,2256.666667,0,75,1,48,0,0,0
1886,2054.166667,0,76,1,49,0,0,0
1887,2040,0,77,1,50,0,0,0
1888,2120.833333,0,78,1,51,0,0,0
1889,2096.666667,0,79,1,52,0,0,0
1890,2008.333333,0,80,1,53,0,0,0
1891,1812.5,0,81,1,54,0,0,0
1892,1740,0,82,1,55,0,0,0
1893,1843.333333,0,83,1,56,0,0,0
1894,2115,0,84,1,57,0,0,0
1895,2176.666667,0,85,1,58,0,0,0
1896,2208.333333,0,86,1,59,0,0,0
1897,2235.833333,0,87,1,60,0,0,0
1898,2077.5,0,88,1,61,0,0,0
1899,2316.666667,0,89,1,62,0,0,0
1900,2333.333333,0,90,1,63,0,0,0
1901,2197.5,0,91,1,64,0,0,0
1902,1941.666667,0,92,1,65,0,0,0
1903,2044.166667,0,93,1,66,0,0,0
1904,2241.666667,0,94,1,67,0,0,0
1905,2309.166667,0,95,1,68,0,0,0
1906,2332.5,0,96,1,69,0,0,0
1907,2236.666667,0,97,1,70,0,0,0
1908,2239.166667,0,98,1,71,0,0,0
1909,1892.5,0,99,1,72,0,0,0
1910,1791.666667,0,100,1,73,0,0,0
1911,1581.666667,0,101,1,74,0,0,0
1912,1765.833333,0,102,1,75,0,0,0
1913,1973.333333,0,103,1,76,0,0,0
1914,2081.666667,0,104,1,77,0,0,0
1915,2019.166667,0,105,1,78,0,0,0
1916,2645.083333,0,106,1,79,0,0,0
1917,2379.166667,0,107,1,80,0,0,0
1918,1889.166667,0,108,1,81,0,0,0
1919,1618.333333,0,109,1,82,0,0,0
1920,2035.083333,0,110,1,83,0,0,0
1921,1549.166667,0,111,1,84,0,0,0
1922,1318.333333,0,112,1,85,0,0,0
1923,1524.166667,0,113,1,86,0,0,0
1924,1509.166667,0,114,1,87,0,0,0
1925,1752.5,0,115,1,88,0,0,0
1926,1513.333333,0,116,1,89,0,0,0
1927,2150.833333,0,117,1,90,0,0,0
1928,2447,0,118,1,91,0,0,0
1929,2060.833333,0,119,1,92,0,0,0
1930,1796.666667,0,120,1,93,0,0,0
